latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,datetime,area_km2
34.03789,-118.55386,341.67,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,286.91,10.09,D,2025/1/7 20:40,0.192
34.0369,-118.55901,344.56,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,285.94,6.99,D,2025/1/7 20:40,0.192
34.04351,-118.54434,325.4,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,289.66,4.36,D,2025/1/7 20:40,0.192
34.04251,-118.54955,350.66,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,288.44,10.09,D,2025/1/7 20:40,0.192
34.04055,-118.55983,353.46,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,291.59,6.99,D,2025/1/7 20:40,0.192
34.03955,-118.56501,327.67,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,287.19,6.99,D,2025/1/7 20:40,0.192
34.04154,-118.55464,355.57,0.48,0.4,2025/1/7,2040,N21,VIIRS,l,2.0NRT,289.75,10.09,D,2025/1/7 20:40,0.192
34.04617,-118.55029,367,0.48,0.4,2025/1/7,2040,N21,VIIRS,h,2.0NRT,291.93,272.67,D,2025/1/7 20:40,0.192
34.0491,-118.53491,341.36,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,293,3.05,D,2025/1/7 20:40,0.192
34.04813,-118.53999,325.17,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,291.26,4.68,D,2025/1/7 20:40,0.192
34.04715,-118.54517,338.07,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,290.28,4.68,D,2025/1/7 20:40,0.192
34.04321,-118.56579,328.79,0.48,0.4,2025/1/7,2040,N21,VIIRS,n,2.0NRT,289.74,404.27,D,2025/1/7 20:40,0.192
