time,pm10 ( ¦Ìg/m3),pm2_5 ( ¦Ìg/m3),carbon_monoxide ( ¦Ìg/m3),carbon_dioxide (ppm),nitrogen_dioxide ( ¦Ìg/m3),sulphur_dioxide ( ¦Ìg/m3),ozone ( ¦Ìg/m3,dust ( ¦Ìg/m3),uv_index ()
2025-01-08T00:00,8.1,6.4,166,444,6.8,2.4,89,2,0.2
2025-01-08T01:00,7.1,5.9,166,444,8.4,2.5,87,2,0
2025-01-08T02:00,6.1,5.1,166,445,10.6,2.6,83,1,0
2025-01-08T03:00,5.2,4.3,165,446,11.8,2.6,81,1,0
2025-01-08T04:00,4.3,3.6,158,445,11.1,2.4,81,1,0
2025-01-08T05:00,4,3.4,149,443,9.4,2.2,81,1,0
2025-01-08T06:00,4,3.5,146,444,7.9,2,82,1,0
2025-01-08T07:00,4.1,3.7,157,448,6.8,1.9,82,1,0
2025-01-08T08:00,4,3.7,174,455,5.8,2,82,0,0
2025-01-08T09:00,3.8,3.5,185,460,5.1,2,82,0,0
2025-01-08T10:00,3.5,3.3,181,463,4.7,2,81,0,0
2025-01-08T11:00,3.3,3.1,171,465,4.6,2.1,81,0,0
2025-01-08T12:00,5.2,5.1,174,468,5.6,2.2,79,0,0
2025-01-08T13:00,5.3,5.2,209,474,7.7,2.5,77,0,0
2025-01-08T14:00,5.4,5.2,256,481,10.5,2.9,74,0,0
2025-01-08T15:00,6,5.8,280,483,12.7,3.3,72,0,0
2025-01-08T16:00,6.7,6.5,255,474,13.6,3.7,71,0,0.3
2025-01-08T17:00,8.5,8.3,206,459,13.7,4.1,71,0,0.9
2025-01-08T18:00,10.8,10.4,168,448,13.6,4.4,73,0,1.75
2025-01-08T19:00,14.8,14.1,157,445,13,4.6,78,0,2.45
2025-01-08T20:00,20,19.1,158,445,12.2,4.7,86,0,2.65
2025-01-08T21:00,24.2,23.1,162,446,11.9,4.8,91,0,2.2
2025-01-08T22:00,26.5,25.3,95,445,11.8,4.7,93,0,1.45
2025-01-08T23:00,26.6,25.4,32,444,12.2,4.6,94,1,0.7
2025-01-09T00:00,55.1,53.6,187,449,35.3,7.5,88,0,0.15
2025-01-09T01:00,64.7,63.3,766,464,44.5,7.7,69,0,0
2025-01-09T02:00,79.4,78.2,1564,485,57.4,8.1,43,1,0
2025-01-09T03:00,63.3,62.2,2176,502,67.5,8.4,22,1,0
2025-01-09T04:00,53.2,52.2,2398,511,72.5,8.7,11,1,0
2025-01-09T05:00,53.4,52.5,2435,515,74.8,8.9,4,1,0
2025-01-09T06:00,64,63.3,2499,519,75.7,9.3,0,1,0
2025-01-09T07:00,80.8,80.3,2687,522,75.3,9.9,0,1,0
2025-01-09T08:00,97.1,96.6,2902,525,73.6,10.5,0,0,0
2025-01-09T09:00,107.1,106.9,3062,528,71.7,11,0,0,0
