time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),surface_pressure (hPa),pressure_msl (hPa),wind_speed_10m (km/h),wind_direction_10m (°),cloud_cover (%)
2025-01-04T00:00,18.1,48,16.3,0,0,1005.5,1016.3,6.8,148,0
2025-01-04T01:00,15.5,58,14.1,0,0,1005.4,1016.3,4.6,189,0
2025-01-04T02:00,14.2,75,12.8,0,0,1006.7,1017.6,9.1,249,6
2025-01-04T03:00,12.1,89,11.7,0,0,1006.9,1017.9,3.2,236,2
2025-01-04T04:00,11.2,93,10.9,0,0,1007.1,1018.2,2.8,165,5
2025-01-04T05:00,10.5,98,10.1,0,0,1007.3,1018.4,3.2,133,38
2025-01-04T06:00,10.2,100,10,0,0,1007.5,1018.6,1.3,124,100
2025-01-04T07:00,10.4,100,10.4,0,0,1007.5,1018.6,0.9,79,100
2025-01-04T08:00,11,98,11.1,0,0,1007.6,1018.7,0.5,360,100
2025-01-04T09:00,10.6,95,10.4,0,0,1007.5,1018.6,1,329,87
2025-01-04T10:00,9.7,97,9.2,0,0,1007.4,1018.5,1.9,112,84
2025-01-04T11:00,9.1,100,8.2,0,0,1007.4,1018.5,4.5,92,100
2025-01-04T12:00,7.9,100,6.6,0,0,1007.3,1018.5,5.2,88,100
2025-01-04T13:00,9.6,99,8.6,0,0,1007.3,1018.4,5.8,144,100
2025-01-04T14:00,9.9,97,9.3,0,0,1007.7,1018.8,2.7,118,100
2025-01-04T15:00,9.8,95,9.1,0,0,1007.9,1019,3.1,83,100
2025-01-04T16:00,9.7,93,8.5,0,0,1008.1,1019.2,6.3,85,100
2025-01-04T17:00,10.1,93,8.8,0,0,1008.5,1019.6,7.6,98,100
2025-01-04T18:00,10.7,88,8.9,0,0,1009.6,1020.7,10.2,98,100
2025-01-04T19:00,11.5,76,9.5,0,0,1009.5,1020.6,9.2,102,100
2025-01-04T20:00,12.9,62,10.8,0,0,1008.8,1019.8,7.8,77,99
2025-01-04T21:00,15.3,47,13.2,0,0,1008.1,1019,5.2,59,51
2025-01-04T22:00,16.8,39,15,0,0,1007.7,1018.5,1.2,63,81
2025-01-04T23:00,17,41,14.9,0,0,1007.2,1018,3.9,193,78
2025-01-05T00:00,15.8,49,13.9,0,0,1007.3,1018.2,5.3,204,54
2025-01-05T01:00,14.1,64,13.4,0,0,1007.5,1018.4,0.2,180,100
2025-01-05T02:00,12.9,66,11.7,0,0,1007.7,1018.7,2.3,270,100
2025-01-05T03:00,12.3,69,11.1,0,0,1008.1,1019.1,2.3,299,100
2025-01-05T04:00,11.9,71,11,0,0,1008.6,1019.6,0.7,346,100
2025-01-05T05:00,11.3,73,10.4,0,0,1008.8,1019.9,0.4,27,100
2025-01-05T06:00,10.7,72,9.2,0,0,1008.9,1020,2.9,43,100
2025-01-05T07:00,10,71,8.4,0,0,1008.8,1019.9,2.6,25,51
2025-01-05T08:00,9.2,68,7.5,0,0,1008.7,1019.9,1.3,352,41
2025-01-05T09:00,8.6,62,6.5,0,0,1008.6,1019.8,1.8,24,37
2025-01-05T10:00,8,58,5.5,0,0,1008.4,1019.6,3.3,36,15
2025-01-05T11:00,7.5,54,4.8,0,0,1008.1,1019.3,3,14,26
2025-01-05T12:00,6.8,51,3.9,0,0,1008.3,1019.5,2.6,16,82
2025-01-05T13:00,7.9,40,4.7,0,0,1008,1019.2,3.1,28,91
2025-01-05T14:00,6.9,40,3.7,0,0,1008.5,1019.7,2.2,9,90
2025-01-05T15:00,6.3,40,3,0,0,1008.9,1020.2,2.2,9,98
2025-01-05T16:00,8.2,31,4.7,0,0,1009.5,1020.7,3.1,10,99
2025-01-05T17:00,12.4,25,8.8,0,0,1010.1,1021.1,3.6,6,99
2025-01-05T18:00,16.1,20,13,0,0,1010.6,1021.5,0.4,63,94
2025-01-05T19:00,19.1,17,16,0,0,1010.1,1020.9,0.8,225,94
2025-01-05T20:00,21.6,15,18.6,0,0,1009.2,1019.9,0.6,236,41
2025-01-05T21:00,23.1,13,20.1,0,0,1008.3,1018.9,0.2,180,81
2025-01-05T22:00,23.8,12,20.4,0,0,1007.9,1018.5,2.3,238,65
2025-01-05T23:00,23.8,11,20,0,0,1007.8,1018.4,4.8,236,63
2025-01-06T00:00,22.3,13,18.6,0,0,1007.9,1018.6,5.2,236,14
2025-01-06T01:00,18.2,26,15.3,0,0,1007.7,1018.5,3.7,241,77
2025-01-06T02:00,17,32,14.9,0,0,1008.2,1019,0.5,135,21
2025-01-06T03:00,16.2,31,13.6,0,0,1008.3,1019.2,2,80,65
2025-01-06T04:00,15.4,31,12.7,0,0,1008.4,1019.3,2.1,31,11
2025-01-06T05:00,14.1,32,11.2,0,0,1008.6,1019.6,2.7,23,15
2025-01-06T06:00,13.1,33,10.2,0,0,1009,1020,2.7,8,42
2025-01-06T07:00,12.1,35,9.1,0,0,1008.9,1019.9,2.9,11,5
2025-01-06T08:00,11.1,38,8.1,0,0,1008.7,1019.8,2.9,7,25
2025-01-06T09:00,10.4,40,7.4,0,0,1008.6,1019.7,2.9,4,1
2025-01-06T10:00,9.9,41,7,0,0,1008.7,1019.8,2.9,22,0
2025-01-06T11:00,9.8,42,6.9,0,0,1008.4,1019.5,2.4,17,0
2025-01-06T12:00,10,40,7.2,0,0,1008.2,1019.3,1.7,13,0
2025-01-06T13:00,9.1,41,6.2,0,0,1007.5,1018.6,1.9,343,0
2025-01-06T14:00,9.7,38,6.9,0,0,1007.9,1019,0.9,11,3
2025-01-06T15:00,10,37,7.2,0,0,1008,1019.1,1.1,18,0
2025-01-06T16:00,11.6,35,8.9,0,0,1008.2,1019.3,0.9,37,1
2025-01-06T17:00,14.5,27,11.4,0,0,1008.5,1019.4,2.8,130,0
2025-01-06T18:00,16.8,24,13.9,0,0,1008.6,1019.5,1.4,130,5
2025-01-06T19:00,19.1,21,16.1,0,0,1007.9,1018.7,2.6,102,27
2025-01-06T20:00,21.1,18,18.1,0,0,1006.9,1017.6,2.4,153,36
2025-01-06T21:00,22.3,16,18.9,0,0,1005.7,1016.3,5.1,184,55
2025-01-06T22:00,22.9,16,19.3,0,0,1004.9,1015.5,6.3,195,42
2025-01-06T23:00,22.8,16,19.2,0,0,1004.4,1015,6,201,9
2025-01-07T00:00,21.7,19,18.3,0,0,1004.5,1015.1,5.7,198,32
2025-01-07T01:00,19,32,16.6,0,0,1004,1014.7,4.1,221,100
2025-01-07T02:00,17.3,39,15.4,0,0,1003.8,1014.6,2.3,176,100
2025-01-07T03:00,16.5,42,14.4,0,0,1003.9,1014.7,4.5,133,100
2025-01-07T04:00,15.1,51,13.4,0,0,1003.8,1014.7,3.7,141,100
